Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0865,SED NY Holdings LLC,Flat Hill Solar,5/31/19,20,20,S,Herkimer,NY,E,Inghams - Little Falls Hydro Plant,NM-NG,5,1/31/20,,,10/2021,11/2021,11/2021
0866,"RES Americas Developments, Inc.",North Country Wind,6/3/19,298.2,298.2,W,Franklin,NY,D,Willis Substation 230kV,NYPA,2,7/31/19,,,09/2023,09/2023,12/2023
0869,SED NY Holdings LLC,Tabletop Solar,6/4/19,80,80,S,Montgomery,NY,F,Clinton Substation 115kV,NM-NG,3,12/31/19,,,09/2022,09/2022,10/2022
0871,Invenergy Solar Project Development LLC,Verona Solar Energy Center I,6/5/19,250,250,S,Oneida,NY,C,Clay - Edic 345kV,NYPA,3,1/31/20,,,10/2023,10/2023,12/2023
0873,Invenergy Solar Project Development LLC,Verona Solar Energy Center II,6/5/19,250,250,S,Oneida,NY,C,Clay - Edic 345kV,NYPA,3,1/31/20,,,10/2023,10/2023,10/2023
0875,"SL Portland, LLC",SL Portland Solar,6/6/19,19.9,19.9,S,Chautauqua,NY,A,Dunkirk - Falconer 115 kV,NM-NG,2,9/30/19,,,12/2020,12/2020,12/2020
0877,"SL York, LLC",SL York Solar,6/6/19,19.9,19.9,S,Livingston,NY,B,Golah - S. Perry 115 kV,NM-NG,4,1/31/20,,,12/2020,12/2020,12/2020
0878,"Energy Storage Resources, LLC",Pirates Island,6/10/19,100,100,ES,Erie,NY,A,Huntley - Elm 115kV,NM-NG,5,12/31/19,,,01/2022,02/2022,04/2022
0879,Empire Community Solar LLC,Holley Road Solar,6/10/19,19.9,19.9,S,Orleans,NY,B,Lockport - Mortimer 115kV,NM-NG,3,1/31/20,,,09/2021,11/2021,11/2021
0880,"Brookside Solar, LLC",Brookside Solar,6/10/19,100,100,S,Franklin,NY,D,Chateaugay Substation,NYSEG,4,2/29/20,,,07/2023,09/2023,11/2023
0881,"New Bremen Solar, LLC",New Bremen Solar,6/10/19,100,100,S,Lewis,NY,E,Bremen - Lowville 115kV,NM-NG,3,12/31/19,,,07/2023,09/2023,11/2023
0882,"Riverside Solar, LLC",Riverside Solar,6/10/19,100,100,S,Jefferson,NY,E,Lyme Substation 115kV,NM-NG,3,12/31/19,,,07/2023,09/2023,11/2023
0883,"North Park Energy, LLC",Garnet Energy Center,6/11/19,200,200,S,Cayuga,NY,B,Pannell - Clay 345kV,NYPA,4,8/31/19,,,08/2023,09/2023,11/2023
0885,SED NY Holdings LLC,Grassy Knoll Solar,6/12/19,20,20,S,Herkimer,NY,E,Watkins Rd - Inghams 115kV,NM-NG,5,12/31/19,,,10/2021,11/2021,11/2021
0887,TDI-USA Holdings Corp.,CH Uprate,6/12/19,250,250,DC,Quebec-NY,NY,J,Astoria Annex Substation 345kV,NYPA,5,1/31/20,,,10/2026,10/2026,12/2026
0892,FourGen LLC,Holtsville Fuel Cell,7/15/19,20,20,FC,Suffolk,NY,K,Holtsville 69kV,LIPA,4,12/31/19,,,06/2020,06/2020,06/2020
0893,FourGen LLC,Setauket Fuel Cell,7/15/19,20,20,FC,Suffolk,NY,K,Terryville Substation 8kV,LIPA,4,12/31/19,,,06/2020,06/2020,06/2020
0894,"Montgomery Energy Storage 1, LLC",Montgomery Energy Storage,7/15/19,20,20,ES,Orange,NY,G,Walden - Montgomery 69kV,CHG&E,2,12/31/19,,,01/2020,01/2020,01/2020
0899,"Sithe/Independence Power Partners, LP",Scriba-Volney Series Reactor,8/2/19,N/A,N/A,AC,Oswego,NY,C,Volney - Scriba 345 kV,NM-NG,2,12/31/19,,,05/2021,N/A,N/A
0901,"TJA Clean Energy, LLC",Lacona Solar,8/16/19,20,20,S,Oswego,NY,C,Lighthouse Hill - Black River 115kV,NM-NG,4,2/29/20,,,10/2021,09/2022,10/2022
0902,"sPower Development Company, LLC",Yacht Club Energy Storage,8/16/19,300,300,ES,New York,NY,J,Gowanus 345kV,ConEd,3,1/31/20,,,10/2022,11/2022,12/2022
0903,"sPower Development Company, LLC",Goethals Energy Storage,8/16/19,300,300,ES,New York,NY,J,Goethals 345kV,ConEd,3,1/31/20,,,10/2022,11/2022,12/2022
0907,174 Power Global,Harlem River Yard,9/4/19,116,116,ES,New York,NY,J,Hell Gate 138kV,ConEd,4,2/29/20,,,10/2022,10/2022,12/2022
0909,"PetaWatt Holdings, Inc.",Massena Load,9/18/19,100,100,L,St. Lawrence,NY,E,Dennison 115kV substation,NM-NG,4,10/31/19,,,12?2020,,
0911,Dimension NY 1 LLC,NY-19-0027 - Greenport Group LLC,10/1/19,20,20,ES,Suffolk,NY,K,Peconic - Southold 69kV,LIPA,4,2/29/20,,,05/2022,05/2022,05/2022
0912,Hecate Grid Intrepid 1 LLC,Intrepid Storage 69,10/2/19,50,50,ES,Nassau,NY,K,EF Barrett 69kV Substation,LIPA,1,12/31/19,,,10/2021,10/2021,10/2021
0913,SED NY Holdings LLC,SunEast Manchester Solar LLC,10/4/19,20,20,S,Wayne,NY,B,Hooks Rd - Elbridge 115kV,NM-NG,1,12/31/19,,,06/2021,07/2021,07/2021
0914,"sPower Development Company, LLC",Loomis Creek Solar,10/7/19,100,100,S,Columbia,NY,F,Churchtown Substation 115 kV,NYSEG,1,11/30/19,,,10/2022,11/2022,12/2022
0916,"EDF Renewables Development, Inc.",Hartley Battery Storage,10/7/19,20,20,ES,Orange,NY,G,Hartley Road Substation 69kV,O&R,1,2/29/20,,,11/2022,11/2022,12/2022
0917,"sPower Development Company, LLC",Loomis Creek ES,10/7/19,50,50,ES,Columbia,NY,F,Churchtown Substation 115 kV,NYSEG,2,2/29/20,,,10/2022,11/2022,12/2022
0919,"sPower Development Company, LLC",White Spring ES,10/10/19,100,100,ES,Ontario,NY,B,Haley Road Substation 115 kV,NYSEG,1,11/30/19,,,10/2022,11/2022,12/2022
0920,"sPower Development Company, LLC",White Spring Solar,10/10/19,200,200,S,Ontario,NY,B,Haley Road Substation 115 kV,NYSEG,1,11/30/19,,,10/2022,11/2022,12/2022
0921,"sPower Development Company, LLC",Line Creek ES,10/10/19,30,30,ES,Schoharie,NY,F,Schoharie 69 kV,NM-NG,1,11/30/19,,,10/2022,11/2022,12/2022
0922,"sPower Development Company, LLC",Line Creek Solar,10/10/19,50,50,S,Schoharie,NY,F,Schoharie 69 kV,NM-NG,1,11/30/19,,,10/2022,11/2022,12/2022
0923,"sPower Development Company, LLC",Far Rockaway Energy Storage Center,10/11/19,150,150,ES,Queens,NY,K,Far Rockaway Substation 69 kV,LIPA,1,11/30/19,,,10/2022,11/2022,12/2022
0924,RICAL LLC,CBB,10/15/19,115,115,ES,Dutchess,NY,G,Shenandoah Substation,CHGE/ConEd,1,11/30/19,,,10/2021,01/2022,05/2022
